trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.9202803157161181}",25,0,-110.98506633397217,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.9191023971657747}",25,0,-103.30786056555017,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.9179162067000607}",30,0,-169.13758693215175,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.9167217549946823}",20,0,-105.93356772183958,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9155190527996969}",25,0,-113.24404078849525,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.914308110939416}",25,0,-58.870960197607985,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,0,-28.26751674131556,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.911861551890901}",35,0,-166.43280541796102,"{0: 21, 1: 6, 2: 4, 3: 2, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.9106259567216819}",30,0,-208.18475032204833,"{0: 12, 1: 7, 2: 7, 3: 2, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9093821659249989}",25,0,-100.8089348409734,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9081301906949609}",25,0,-70.66044902555875,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.9068700422993367}",30,7,-173.60055766169924,"{0: 11, 1: 4, 2: 3, 3: 3, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.9056017320794529}",30,0,-88.84454554444675,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.9043252714500934}",30,0,-83.22439396522716,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.903040671899395}",25,0,-133.22104029033125,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.901747944988745}",25,2,-65.00394640291715,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-113.69283140322449,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.8991381556987657}",20,14,-1.9175754055490435,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.8978211168075223}",25,0,-91.16383180331347,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.896495997532288}",20,0,-40.93317916849712,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.8951628097991272}",20,0,-34.79007942587567,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.8938215656067205}",20,0,-96.7097148340146,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.8924722770262568}",25,0,-18.03315966812948,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.891114956201324}",20,6,-53.75804531712652,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.8897496153478003}",20,0,-68.63764680464605,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.8883762667537444}",25,0,-65.65467168727469,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,0,-145.74971000685065,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.8856055958565062}",20,0,-26.508767234589328,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.8842082984893433}",20,0,-118.27074286342157,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.8828030432534625}",25,0,-90.09559800754192,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.8813898427961513}",20,0,-52.749729468174245,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.8799687098362042}",20,13,11.85182028307019,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.8785396571638084}",30,0,-84.9409982451549,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.8771026976404284}",20,0,-101.26349929593825,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.87565784419869}",30,0,-82.06619579008269,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.8742051098422644}",20,0,-216.28570436018902,"{0: 7, 1: 0, 2: 10, 3: 0, 4: 3}",0
171,False,"{'a': 0.5, 'e': 0.8727445076457513}",25,0,-106.88598323932334,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.8712760507545603}",20,0,-138.04542535504265,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.8697997523847936}",20,0,-72.18535675288955,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.8683156258231266}",20,0,-88.5477524307224,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.8668236844266883}",30,0,-108.10512770126464,"{0: 21, 1: 6, 2: 0, 3: 1, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.8653239416229412}",30,0,-243.88461639512911,"{0: 13, 1: 4, 2: 8, 3: 2, 4: 3}",0
177,False,"{'a': 0.5, 'e': 0.8638164109095605}",20,0,-87.18577468872199,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.8623011058543124}",25,0,-178.7218864978306,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.8607780400949321}",20,0,-32.19554535602851,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.8592472273390012}",20,0,-83.82676340606353,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-76.26139623351618,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.8561624160163044}",25,0,-77.06812901400814,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
